# soak.py — pont Telegram (pont.py) — relance dans tmux apres mort du premier soak a 2h28
# debut_utc	2026-09-22T15:04:03Z
# duree_demandee_h	720.00
# fin_prevue_utc	2026-10-22T15:04:03Z
# machine	aarch64, 2 coeurs
# intervalle_s	60
# arbre	True (si faux et enfants>0, le chiffre peut etre au mauvais endroit)
# inotify_max_user_watches	93600
# NON MESURE : energie (pas de /sys/class/powercap, VPS partage) ; percentiles de latence (mes propres processus partagent les 2 coeurs)
horodatage_utc	seconde_ecoulee	pid	vivant	rss_ko	vsize_ko	fils	descripteurs	instances_inotify	cpu_ticks	redemarrages	enfants	charge_1min	note
2026-09-22T15:27:03Z	1380	781853	1	18956	30244	1	4	0	6046	0	0	0.00	
2026-09-22T15:28:03Z	1440	781853	1	18956	30244	1	4	0	6047	0	0	0.05	
2026-09-22T15:29:03Z	1500	781853	1	18956	30244	1	4	0	6048	0	0	0.06	
2026-09-22T15:30:03Z	1560	781853	1	18956	30244	1	4	0	6048	0	0	0.21	
2026-09-22T15:31:03Z	1620	781853	1	18956	30244	1	4	0	6048	0	0	0.27	
2026-09-22T15:32:03Z	1680	781853	1	18956	30244	1	4	0	6049	0	0	0.15	
2026-09-22T15:33:03Z	1740	781853	1	18956	30244	1	4	0	6049	0	0	0.05	
2026-09-22T15:34:03Z	1800	781853	1	18956	30244	1	4	0	6049	0	0	0.02	
2026-09-22T15:35:03Z	1860	781853	1	18956	30244	1	4	0	6050	0	0	0.00	
2026-09-22T15:36:03Z	1920	781853	1	18956	30244	1	4	0	6051	0	0	0.00	
2026-09-22T15:37:03Z	1980	781853	1	18956	30244	1	4	0	6051	0	0	0.00	
2026-09-22T15:38:03Z	2040	781853	1	18956	30244	1	4	0	6052	0	0	0.00	
2026-09-22T15:39:03Z	2100	781853	1	18956	30244	1	4	0	6052	0	0	0.00	
2026-09-22T15:40:03Z	2160	781853	1	18956	30244	1	4	0	6052	0	0	0.04	
2026-09-22T15:41:03Z	2220	781853	1	18956	30244	1	4	0	6053	0	0	0.01	
2026-09-22T15:42:03Z	2280	781853	1	18956	30244	1	4	0	6053	0	0	0.00	
2026-09-22T15:43:03Z	2340	781853	1	18956	30244	1	4	0	6054	0	0	0.00	
2026-09-22T15:44:03Z	2400	781853	1	18956	30244	1	4	0	6054	0	0	0.00	
2026-09-22T15:45:03Z	2460	781853	1	18956	30244	1	4	0	6054	0	0	0.00	
2026-09-22T15:46:03Z	2520	781853	1	18956	30244	1	4	0	6055	0	0	0.00	
2026-09-22T15:47:03Z	2580	781853	1	18956	30244	1	4	0	6055	0	0	0.05	
2026-09-22T15:48:03Z	2640	781853	1	18956	30244	1	4	0	6056	0	0	0.10	
2026-09-22T15:49:03Z	2700	781853	1	18956	30244	1	4	0	6056	0	0	0.03	
2026-09-22T15:50:03Z	2760	781853	1	18956	30244	1	4	0	6057	0	0	0.01	
2026-09-22T15:51:03Z	2820	781853	1	18956	30244	1	4	0	6057	0	0	0.00	
2026-09-22T15:52:03Z	2880	781853	1	18956	30244	1	4	0	6058	0	0	0.00	
2026-09-22T15:53:03Z	2940	781853	1	18956	30244	1	4	0	6058	0	0	0.00	
2026-09-22T15:54:03Z	3000	781853	1	18956	30244	1	4	0	6058	0	0	0.00	
2026-09-22T15:55:03Z	3060	781853	1	18956	30244	1	4	0	6058	0	0	0.00	
2026-09-22T15:56:03Z	3120	781853	1	18956	30244	1	4	0	6059	0	0	0.11	
2026-09-22T15:57:03Z	3180	781853	1	18956	30244	1	4	0	6060	0	0	0.17	
2026-09-22T15:58:03Z	3240	781853	1	18956	30244	1	4	0	6060	0	0	0.16	
2026-09-22T15:59:03Z	3300	781853	1	18956	30244	1	4	0	6061	0	0	0.10	
2026-09-22T16:00:03Z	3360	781853	1	18956	30244	1	4	0	6061	0	0	0.04	
2026-09-22T16:01:03Z	3420	781853	1	18956	30244	1	4	0	6062	0	0	0.08	
2026-09-22T16:02:03Z	3480	781853	1	18956	30244	1	4	0	6062	0	0	0.03	
2026-09-22T16:03:03Z	3540	781853	1	18956	30244	1	4	0	6062	0	0	0.08	
2026-09-22T16:04:03Z	3600	781853	1	18956	30244	1	4	0	6062	0	0	0.07	
2026-09-22T16:05:03Z	3660	781853	1	18956	30244	1	4	0	6063	0	0	0.19	
2026-09-22T16:06:03Z	3720	781853	1	18956	30244	1	4	0	6063	0	0	0.25	
2026-09-22T16:07:03Z	3780	781853	1	18956	30244	1	4	0	6065	0	0	0.17	
2026-09-22T16:08:03Z	3840	781853	1	18956	30244	1	4	0	6065	0	0	0.06	
2026-09-22T16:09:03Z	3900	781853	1	18956	30244	1	4	0	6065	0	0	0.09	
2026-09-22T16:10:03Z	3960	781853	1	18956	30244	1	4	0	6065	0	0	0.03	
2026-09-22T16:11:03Z	4020	781853	1	18956	30244	1	4	0	6066	0	0	0.01	
2026-09-22T16:12:03Z	4080	781853	1	18956	30244	1	4	0	6067	0	0	0.00	
2026-09-22T16:13:03Z	4140	781853	1	18956	30244	1	4	0	6067	0	0	0.00	
2026-09-22T16:14:03Z	4200	781853	1	18956	30244	1	4	0	6067	0	0	0.00	
2026-09-22T16:15:03Z	4260	781853	1	18956	30244	1	4	0	6068	0	0	0.03	
2026-09-22T16:16:03Z	4320	781853	1	18956	30244	1	4	0	6068	0	0	0.01	
2026-09-22T16:17:03Z	4380	781853	1	18956	30244	1	4	0	6069	0	0	0.05	
2026-09-22T16:18:03Z	4440	781853	1	18956	30244	1	4	0	6069	0	0	0.02	
2026-09-22T16:19:03Z	4500	781853	1	18956	30244	1	4	0	6069	0	0	0.00	
2026-09-22T16:20:03Z	4560	781853	1	18956	30244	1	4	0	6071	0	0	0.06	
2026-09-22T16:21:03Z	4620	781853	1	18956	30244	1	4	0	6071	0	0	0.02	
2026-09-22T16:22:03Z	4680	781853	1	18956	30244	1	4	0	6072	0	0	0.00	
2026-09-22T16:23:03Z	4740	781853	1	18956	30244	1	4	0	6072	0	0	0.06	
2026-09-22T16:24:03Z	4800	781853	1	18956	30244	1	4	0	6072	0	0	0.02	
2026-09-22T16:25:03Z	4860	781853	1	18956	30244	1	4	0	6072	0	0	0.00	
2026-09-22T16:26:03Z	4920	781853	1	18956	30244	1	4	0	6073	0	0	0.00	
2026-09-22T16:27:03Z	4980	781853	1	18956	30244	1	4	0	6073	0	0	0.00	
2026-09-22T16:28:03Z	5040	781853	1	18956	30244	1	4	0	6074	0	0	0.00	
2026-09-22T16:29:03Z	5100	781853	1	18956	30244	1	4	0	6075	0	0	0.00	
2026-09-22T16:30:03Z	5160	781853	1	18956	30244	1	4	0	6075	0	0	0.14	
2026-09-22T16:31:03Z	5220	781853	1	18956	30244	1	4	0	6076	0	0	0.05	
2026-09-22T16:32:03Z	5280	781853	1	18956	30244	1	4	0	6076	0	0	0.24	
2026-09-22T16:33:03Z	5340	781853	1	18956	30244	1	4	0	6076	0	0	0.29	
